,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
2720,5074,UBU,UBU,ubu,3,2020-04-11T00:00:00.000Z,[],21261980.0,0.0,21261980.0,,2721,2021-07-21T00:40:36.000Z,0.05781975219359,929228.84712326,-1.85509617,-9.79042777,-20.49559467,-41.1151134,-46.5589726,-74.38663127,0.0,2021-07-21T00:40:36.000Z,1027.0,Ethereum,ETH,ethereum,0x6b74dd5d01f8320081247f5cf1f7a48324700db6
2721,9200,Revomon,REVO,revomon,4,2021-04-12T00:00:00.000Z,"['marketplace', 'collectibles-nfts', 'gaming', 'entertainment']",100000000.0,0.0,0.0,,2722,2021-07-21T00:41:07.000Z,0.26245517552492,925962.31082954,0.28265553,14.05992679,195.97886507,111.97306014,44.32768519,-57.54419882,0.0,2021-07-21T00:41:07.000Z,1839.0,Binance Smart Chain,BNB,binance-coin,0x155040625D7ae3e9caDA9a73E3E44f76D3Ed1409
2722,8427,Lendhub,LHB,lendhub,9,2021-02-11T00:00:00.000Z,['heco-ecosystem'],,0.0,0.0,,2723,2021-07-21T00:41:03.000Z,0.05272200152564,920222.7965059,-0.52068659,-11.06459902,-32.93199363,-59.74425973,-58.31954352,-90.81111594,0.0,2021-07-21T00:41:03.000Z,2502.0,Heco,HT,huobi-token,0x8f67854497218043e1f72908ffe38d0ed7f24721
2723,6742,DxSale Network,SALE,dxsale-network,4,2020-08-28T00:00:00.000Z,['launchpad'],,0.0,0.0,,2724,2021-07-21T00:41:05.000Z,0.73153014817759,920393.24813688,-0.14464297,-5.335545,-16.51308834,181.00502978,405.8509678,126.86141034,0.0,2021-07-21T00:41:05.000Z,1027.0,Ethereum,ETH,ethereum,0xF063fE1aB7a291c5d06a86e14730b00BF24cB589
2724,9292,Bitsz,BITSZ,bitsz,3,2021-04-19T00:00:00.000Z,[],0.0,0.0,0.0,,2725,2021-07-21T00:40:14.000Z,13.21253993242618,904653.32440106,-0.61845213,0.32399145,2.09716477,6.61085846,50.18838908,3045.39076658,0.0,2021-07-21T00:40:14.000Z,,,,,
2725,9938,OpenOcean,OOE,openocean,15,2021-05-19T00:00:00.000Z,[],1000000000.0,0.0,0.0,,2726,2021-07-21T00:40:23.000Z,0.21680433433407,901222.339093,2.00120318,-8.30368898,-26.58025559,0.0,0.0,0.0,0.0,2021-07-21T00:40:23.000Z,1839.0,Binance Smart Chain,BNB,binance-coin,0x9029fdfae9a03135846381c7ce16595c3554e10a
2726,7000,EOSDOWN,EOSDOWN,eosdown,1,2020-09-11T00:00:00.000Z,[],,0.0,0.0,,2727,2021-07-21T00:41:06.000Z,0.00168051078716,896827.31407271,3.70524834,20.0261652,35.53440317,30.19742617,6.17066878,-92.21552976,0.0,2021-07-21T00:41:06.000Z,,,,,
2727,4549,LEXIT,LEXI,lexit,5,2019-09-12T00:00:00.000Z,[],16000000.0,0.0,0.0,,2728,2021-07-21T00:40:12.000Z,0.14315408628699,895645.35653924,-0.96103346,-8.4278698,-17.70717881,-51.56045821,0.0,0.0,0.0,2021-07-21T00:40:12.000Z,1027.0,Ethereum,ETH,ethereum,0xaa031595d2d9b82847a5df3390c6395839b273d0
2728,5686,Vectorium,VECT,vectorium,1,2020-06-10T00:00:00.000Z,[],550000000.0,0.0,15411499.48,,2729,2021-07-21T00:41:05.000Z,293.73681484003464,888880.93027844,-0.52872114,-4.22887048,-8.82383631,-16.33134119,0.0,0.0,0.0,2021-07-21T00:41:05.000Z,,,,,
2729,10442,BitClout,CLOUT,bitclout,3,2021-06-15T00:00:00.000Z,[],,0.0,10808492.0,,2730,2021-07-21T00:40:17.000Z,100.35801460288258,881660.75281776,0.26486207,0.18482011,-4.8036051,-44.72413844,0.0,0.0,0.0,2021-07-21T00:40:17.000Z,,,,,
2730,9828,Nafter,NAFT,nafter,2,2021-05-15T00:00:00.000Z,['collectibles-nfts'],1000000000.0,0.0,1000000000.0,,2731,2021-07-21T00:41:05.000Z,0.02590288315539,860037.16292976,-1.19544963,-16.16102105,-17.09831604,-47.38024058,-69.18906858,0.0,0.0,2021-07-21T00:41:05.000Z,1839.0,Binance Smart Chain,BNB,binance-coin,0xd7730681b1dc8f6f969166b29d8a5ea8568616a3
2731,10821,StarLink,STARL,star-link,3,2021-07-10T00:00:00.000Z,['metaverse'],10000000000000.0,0.0,0.0,,2732,2021-07-21T00:40:13.000Z,8.1151578e-07,859528.88531879,3.05273617,-2.58675323,-40.19815837,0.0,0.0,0.0,0.0,2021-07-21T00:40:13.000Z,1027.0,Ethereum,ETH,ethereum,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24
2732,8051,FILDOWN,FILDOWN,fildown,1,2020-12-18T00:00:00.000Z,[],,0.0,0.0,,2733,2021-07-21T00:40:30.000Z,0.00769765185056,856926.53808229,3.86593045,25.44004886,59.53144003,70.35509865,50.68099661,77.58634287,0.0,2021-07-21T00:40:30.000Z,,,,,
2733,8508,PoolTogether,POOL,pooltogether,7,2021-02-18T00:00:00.000Z,['defi'],10000000.0,0.0,10000000.0,,2734,2021-07-21T00:41:04.000Z,8.15974734361381,854104.20612786,-0.8341673,-10.64870301,-14.09284537,-44.83857759,-42.81903294,-60.74666845,0.0,2021-07-21T00:41:04.000Z,1027.0,Ethereum,ETH,ethereum,0x0cec1a9154ff802e7934fc916ed7ca50bde6844e
2734,9263,Unizen,ZCX,unizen,9,2021-04-16T00:00:00.000Z,['exnetwork-capital-portfolio'],1000000000.0,0.0,0.0,,2735,2021-07-21T00:41:02.000Z,1.10498852812279,848671.09913398,-0.08253161,-0.52599357,-19.23351549,-30.1540532,-51.57152592,-61.3337344,0.0,2021-07-21T00:41:02.000Z,1027.0,Ethereum,ETH,ethereum,0xc52c326331e9ce41f04484d3b5e5648158028804
2735,9131,Alchemist,MIST,alchemist,5,2021-04-06T00:00:00.000Z,[],1051010.0,0.0,1051010.05,,2736,2021-07-21T00:40:09.000Z,31.27135039769165,846913.66867294,1.11434536,-3.09391068,-23.163361,-55.84663515,-66.02014865,0.0,0.0,2021-07-21T00:40:09.000Z,1027.0,Ethereum,ETH,ethereum,0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab
2736,10508,Instadapp,INST,instadapp,6,2021-06-19T00:00:00.000Z,['defi'],,0.0,100000000.0,,2737,2021-07-21T00:41:03.000Z,5.22211237312944,814843.94851598,-0.01016152,-5.69262855,-25.08646693,-53.5518777,0.0,0.0,0.0,2021-07-21T00:41:03.000Z,1027.0,Ethereum,ETH,ethereum,0x6f40d4A6237C257fff2dB00FA0510DeEECd303eb
2737,8167,Wise Token,WISE,wise,5,2021-01-04T00:00:00.000Z,[],,0.0,342937422.0,,2738,2021-07-21T00:41:07.000Z,0.28996184183805,815991.96936363,-0.60547103,-4.8801261,-17.80612316,-31.40296887,-37.31436448,-41.07422081,0.0,2021-07-21T00:41:07.000Z,1027.0,Ethereum,ETH,ethereum,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6
2738,10376,dAppstore,DAPPX,dappstore,1,2021-06-09T00:00:00.000Z,[],1500000000.0,0.0,0.0,,2739,2021-07-21T00:41:03.000Z,0.10455601967778,813940.9703709,-1.15763878,4.62041897,-9.87631246,-87.55718039,0.0,0.0,0.0,2021-07-21T00:41:03.000Z,1027.0,Ethereum,ETH,ethereum,0x00d8318e44780edeefcf3020a5448f636788883c
2739,9390,Chainsquare,CHS,chainsquare,1,2021-04-20T00:00:00.000Z,[],,0.0,0.0,,2740,2021-07-21T00:41:03.000Z,1.00730616825612,806760.60915295,-0.09771836,-0.86421559,-0.76136335,-3.93630692,-10.06266278,-14.04437901,0.0,2021-07-21T00:41:03.000Z,1027.0,Ethereum,ETH,ethereum,0xb41380174d0B06181513A5677b60200b93b5Efb4
2740,9951,WaultSwap,WEX,waultswap,4,2021-05-19T00:00:00.000Z,[],,0.0,2032344789.0,,2741,2021-07-21T00:41:06.000Z,0.00639894483504,806229.12503566,0.05236929,-22.97858102,6.66162895,-77.26922611,-87.50155014,0.0,0.0,2021-07-21T00:41:06.000Z,1839.0,Binance Smart Chain,BNB,binance-coin,0xa9c41a46a6b3531d28d5c32f6633dd2ff05dfb90
